p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.45 0.5 0.25 0.1198104 0.01455215584 0.6402811999999999 0.2399084 3.4066756361228966e-09
0.45 0.5 0.30000000000000004 0.1476268 0.02199858576 0.6051372 0.24723599999999998 3.6266397370273154e-09
0.45 0.5 0.35000000000000003 0.172554 0.02995276784 0.58059 0.246856 2.7990728814679573e-09
0.45 0.5 0.4 0.1928076 0.037362801759999995 0.5660328 0.2411596 3.520594866429794e-09
0.45 0.5 0.45 0.21174520000000002 0.04501202128000001 0.552346 0.23590879999999997 3.0958730904495754e-09
0.45 0.5 0.5 0.227062 0.05174353392 0.545222 0.227716 3.2143181262766945e-09
0.45 0.5 0.55 0.2402476 0.057894404000000003 0.5421944 0.217558 3.23440387343646e-09
0.45 0.5 0.6000000000000001 0.251318 0.06333492624 0.5394935999999999 0.2091884 2.9619640779332056e-09
0.45 0.5 0.65 0.264892 0.07034271648000001 0.5315516 0.2035564 3.0903397672948943e-09
0.45 0.5 0.7000000000000001 0.2737136 0.07509531424 0.5308651999999999 0.1954212 3.0552247190992095e-09
0.45 0.5 0.75 0.2821644 0.07979036848 0.5295808 0.1882548 2.9586774739256268e-09
0.45 0.5 0.8 0.2896096 0.08402619968000001 0.5292508 0.1811396 2.9704990751938495e-09
0.45 0.5 0.8500000000000001 0.29388800000000004 0.0865404 0.5333108 0.1728012 3.0922425040167254e-09
0.45 0.5 0.9 0.3039344 0.09253245088 0.5273511999999999 0.16871440000000001 2.759022505996849e-09
0.45 0.5 0.9500000000000001 0.3075992 0.09480483776 0.5300972 0.16230360000000002 3.358621754514355e-09
0.45 0.5 1.0 0.3140044 0.09874872496 0.529074 0.15692160000000002 2.5934561311407005e-09
0.5 0.5 0.0 0.0 0.0 0.1292 0.8707999999999997 0.0
0.5 0.5 0.05 0.0 0.0 0.999882 0.000118 0.0
0.5 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.5 0.5 0.15000000000000002 0.0686696 0.00488808704 0.7044168 0.2269136 2.863632464138523e-09
0.5 0.5 0.2 0.10905359999999999 0.0120846192 0.6168756 0.2740708 3.2869422982239135e-09
0.5 0.5 0.25 0.1426392 0.02054103552 0.5718068 0.28555400000000003 3.389785461500868e-09
0.5 0.5 0.30000000000000004 0.1723712 0.029919134400000005 0.5392272 0.28840160000000004 3.827026846304334e-09
0.5 0.5 0.35000000000000003 0.1989348 0.03977587952 0.5176056 0.28345960000000003 3.767808538088174e-09
0.5 0.5 0.4 0.2196232 0.0484162304 0.5060764 0.2743004 3.1849877584821634e-09
0.5 0.5 0.45 0.2383248 0.05697588032 0.49694039999999995 0.26473479999999994 3.1581017814914502e-09
0.5 0.5 0.5 0.2551676 0.06528149520000001 0.48942599999999997 0.2554064 2.9799334279015626e-09
0.5 0.5 0.55 0.2705756 0.07338907696000001 0.4842264 0.24519799999999997 3.146322481615409e-09
0.5 0.5 0.6000000000000001 0.28105719999999995 0.0791740616 0.4847112 0.2342316 3.025907221286625e-09
0.5 0.5 0.65 0.29242880000000004 0.08569022016 0.482388 0.2251832 3.1672113947615623e-09
0.5 0.5 0.7000000000000001 0.30116599999999993 0.09085799248000001 0.4836008 0.2152332 2.970850133597456e-09
0.5 0.5 0.75 0.3105984 0.09661963232 0.4824976 0.206904 2.655955853934815e-09
0.5 0.5 0.8 0.31951480000000004 0.10223293488 0.480664 0.1998212 2.533639238664896e-09
0.5 0.5 0.8500000000000001 0.3267944 0.10693928928000002 0.4815348 0.19167079999999997 2.5988175091512095e-09
0.5 0.5 0.9 0.33320799999999995 0.11116688768 0.4822344 0.18455760000000002 2.6490098271050192e-09
0.5 0.5 0.9500000000000001 0.33769600000000005 0.11419580096000001 0.4845944 0.17770960000000002 2.8418449454996628e-09
0.5 0.5 1.0 0.3441304 0.11858901983999999 0.484222 0.1716476 2.893386381475033e-09
0.55 0.5 0.0 0.0 0.0 0.12759999999999996 0.8724000000000003 0.0
0.55 0.5 0.05 0.0 0.0 0.9998244 0.00017560000000000004 0.0
0.55 0.5 0.1 0.0408924 0.0019022081599999999 0.7520452 0.20706240000000004 4.164509468736688e-09
0.55 0.5 0.15000000000000002 0.08617920000000001 0.0076834799999999995 0.6285024000000001 0.28531839999999997 5.848439334693655e-09
0.55 0.5 0.2 0.1266952 0.01624354944 0.5562079999999999 0.3170968 3.3610860842532344e-09
