p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.55 0.5 0.45 0.26063119999999995 0.06808043808 0.45017039999999997 0.28919839999999997 2.604454822724293e-09
0.55 0.5 0.5 0.2774932 0.0771852504 0.4451236 0.2773832 3.4864490841872033e-09
0.55 0.5 0.55 0.2918976 0.08535067296 0.4440448 0.2640576 2.6291519776463352e-09
0.55 0.5 0.6000000000000001 0.30410879999999996 0.09265472896 0.4427516000000001 0.2531396 3.073388919709776e-09
0.55 0.5 0.65 0.3145584 0.09909559264000001 0.4430924 0.2423492 2.6813955008257203e-09
0.55 0.5 0.7000000000000001 0.32493279999999997 0.10572687552 0.44289639999999997 0.23217079999999998 2.8519968128697515e-09
0.55 0.5 0.75 0.334012 0.11170053664 0.4428407999999999 0.2231472 2.4115177616645975e-09
0.55 0.5 0.8 0.34314599999999995 0.11788967632000001 0.4424252 0.21442880000000003 2.554709227027799e-09
0.55 0.5 0.8500000000000001 0.350274 0.12282896368 0.44359479999999996 0.2061312 2.6367954087811103e-09
0.55 0.5 0.9 0.35675159999999995 0.12741201648 0.4459076 0.1973408 2.599214376629013e-09
0.55 0.5 0.9500000000000001 0.362794 0.13176676848 0.44623760000000007 0.1909684 2.644516700533494e-09
0.55 0.5 1.0 0.36865679999999995 0.13605332224 0.4473264 0.18401679999999998 2.643012927835274e-09
0.6000000000000001 0.5 0.0 0.0 0.0 0.08880000000000002 0.9112000000000005 0.0
0.6000000000000001 0.5 0.05 0.0 0.0 0.999874 0.000126 0.0
0.6000000000000001 0.5 0.1 0.056373599999999996 0.0034271113600000003 0.6644344 0.279192 4.050503586547565e-09
0.6000000000000001 0.5 0.15000000000000002 0.09868039999999999 0.00995253584 0.5710040000000001 0.33031560000000004 3.970293598174608e-09
0.6000000000000001 0.5 0.2 0.14025400000000002 0.01984416208 0.5075564 0.35218960000000005 3.1849094109155326e-09
0.6000000000000001 0.5 0.25 0.1766592 0.0314107456 0.47049559999999996 0.35284519999999997 3.288638126346651e-09
0.6000000000000001 0.5 0.30000000000000004 0.2089932 0.04385084399999999 0.4427572 0.34824960000000005 2.9306596066562614e-09
0.6000000000000001 0.5 0.35000000000000003 0.2342644 0.055056526880000005 0.4308632 0.33487239999999996 3.176882113770754e-09
0.6000000000000001 0.5 0.4 0.2574028 0.06640506352 0.42053680000000004 0.32206039999999997 2.5526589719709215e-09
0.6000000000000001 0.5 0.45 0.2773548 0.0770697176 0.41397720000000005 0.308668 2.7270513150683447e-09
0.6000000000000001 0.5 0.5 0.29418439999999996 0.08670388688 0.41190599999999994 0.2939096 2.9883571705296655e-09
0.6000000000000001 0.5 0.55 0.309866 0.09617361424000001 0.40912879999999996 0.2810052 2.7542830330143063e-09
